Name:string,Calls:timestampu,Excl Count Min:timestampu,Excl Count Max:timestampu,Excl Count Average,Excl Count Total:float:decimal,Incl Count Min:timestampu,Incl Count Max:timestampu,Incl Count Average,Incl Count Total:float:decimal,Filename:string,Line Number:uinteger,Start Address:uinteger,
"aes_decrypt(struct aes_key_st *, unsigned char *, unsigned char *)",19,236,236,236.000000,4484.000000,236,236,236.000000,4484.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\aes.c,1149,2147486764,
"AES_decrypt(unsigned char *, unsigned char *, struct aes_key_st *)",19,13,13,13.000000,247.000000,249,249,249.000000,4731.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\aes.c,1389,2147488016,
"aes_encrypt(struct aes_key_st *, unsigned char *, unsigned char *)",51,244,244,244.000000,12444.000000,244,244,244.000000,12444.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\aes.c,529,2147485584,
"AES_encrypt(unsigned char *, unsigned char *, struct aes_key_st *)",51,13,14,13.627451,695.000000,257,258,257.627451,13139.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\aes.c,1383,2147487992,
"aes_set_decrypt_key(struct aes_key_st *, unsigned char *, int)",3,484,484,484.000000,1452.000000,819,819,819.000000,2457.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\aes.c,1089,2147484908,
"AES_set_decrypt_key(unsigned char *, int, struct aes_key_st *)",3,13,13,13.000000,39.000000,832,832,832.000000,2496.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\aes.c,1376,2147487972,
"aes_set_encrypt_key(struct aes_key_st *, unsigned char *, int)",15,335,335,335.000000,5025.000000,335,335,335.000000,5025.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\aes.c,429,2147483648,
"AES_set_encrypt_key(unsigned char *, int, struct aes_key_st *)",12,13,14,13.500000,162.000000,348,349,348.500000,4182.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\aes.c,1370,2147487948,
"calc_L_i(unsigned char *, unsigned char *, unsigned int)",38,19,51,27.736842,1054.000000,77,547,193.315789,7346.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\ocb.c,59,2147488272,
"compute_SHA256(unsigned char *, unsigned char *, unsigned int)",10,31,32,31.100000,311.000000,1225,5651,2995.500000,29955.000000,U:\Documents\CRYPTO\DSP\Release\..\ciphers\sha2\sha2_wrapper.c,18,2147524992,
"create_data_packet(unsigned char *, unsigned char *, unsigned char)",1,95,95,95.000000,95.000000,6603,6603,6603.000000,6603.000000,U:\Documents\CRYPTO\DSP\Release\..\packman\packman_master.c,13,2147500904,
"decrypt_data(unsigned char *, unsigned char *)",1,25,25,25.000000,25.000000,7482,7482,7482.000000,7482.000000,U:\Documents\CRYPTO\DSP\Release\..\crypto_wrapper.c,73,2147507060,
"double_block(unsigned char *, unsigned char *)",78,57,146,89.435897,6976.000000,57,146,89.435897,6976.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\ocb.c,49,2147488064,
"EMSA_PKCS1_V1_5_ENCODE(unsigned char *, unsigned char *, unsigned int, unsigned int)",4,1945,1945,1945.000000,7780.000000,287868,287966,287917.000000,1151668.000000,U:\Documents\CRYPTO\DSP\Release\..\asymmetric\signatures.c,44,2147497088,
"encrypt_data(unsigned char *, unsigned char *, unsigned char)",1,6,6,6.000000,6.000000,6696,6696,6696.000000,6696.000000,U:\Documents\CRYPTO\DSP\Release\..\crypto_wrapper.c,69,2147507048,
finalize_connection(),1,49,49,49.000000,49.000000,15840,15840,15840.000000,15840.000000,U:\Documents\CRYPTO\DSP\Release\..\crypto_wrapper.c,84,2147506948,
"generate_number(unsigned char *, unsigned char, unsigned int)",2,108,108,108.000000,216.000000,1328,1337,1332.500000,2665.000000,U:\Documents\CRYPTO\DSP\Release\..\bbs\bbs.c,32,2147513916,
get_generator(unsigned char *),2,176,176,176.000000,352.000000,176,176,176.000000,352.000000,U:\Documents\CRYPTO\DSP\Release\..\sts\dh.c,14,2147503968,
get_prime(unsigned char *),5,176,177,176.200000,881.000000,176,177,176.200000,881.000000,U:\Documents\CRYPTO\DSP\Release\..\sts\dh.c,32,2147503424,
"hash(unsigned char *, unsigned char *, unsigned char *, unsigned int)",6,83,118,94.666667,568.000000,831,1527,1063.000000,6378.000000,U:\Documents\CRYPTO\DSP\Release\..\ocb\ocb.c,68,2147488344,
