Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float,Filename:string,Line Number:uinteger,Start Address:uinteger
"abort()","1","-","-","0.0","0.0","-","-","0.0","0.0","C:\Users\mraes\Desktop\crypto\Release\..\exit.c","109","2147524960"
"int32_to_int8(unsigned char *, unsigned int)","6","6","6","6.0","36.0","6","6","6.0","36.0","C:\Users\mraes\Desktop\crypto\Release\..\tools\tools.c","22","2147504980"
"get_generator(unsigned char *)","2","176","176","176.0","352.0","176","176","176.0","352.0","C:\Users\mraes\Desktop\crypto\Release\..\sts\dh.c","14","2147507648"
"SHA256_Init(struct _SHA256_CTX *)","10","20","20","20.0","200.0","51","51","51.0","510.0","C:\Users\mraes\Desktop\crypto\Release\..\ciphers\sha2\sha2.c","342","2147495812"
"get_prime(unsigned char *)","5","176","177","176.2","881.0","176","177","176.2","881.0","C:\Users\mraes\Desktop\crypto\Release\..\sts\dh.c","32","2147507104"
"exit(int)","1","-","-","43.0","43.0","-","-","1075.0","1075.0","C:\Users\mraes\Desktop\crypto\Release\..\exit.c","59","2147524964"
"mod_inverse(unsigned short)","9","168","168","168.0","1512.0","168","168","168.0","1512.0","C:\Users\mraes\Desktop\crypto\Release\..\asymmetric\monmult.c","28","2147488064"
"convert_16_to_8(unsigned char *, unsigned short *)","9","173","173","173.0","1557.0","173","173","173.0","1557.0","C:\Users\mraes\Desktop\crypto\Release\..\tools\tools.c","14","2147505160"
"setup_monmult(unsigned short *)","9","18","18","18.0","162.0","186","186","186.0","1674.0","C:\Users\mraes\Desktop\crypto\Release\..\asymmetric\monmult.c","47","2147488236"
"random_byte(unsigned char *, unsigned int *)","8","90","90","90.0","720.0","290","306","300.375","2403.0","C:\Users\mraes\Desktop\crypto\Release\..\bbs\bbs.c","22","2147517824"
"aes_set_decrypt_key(struct aes_key_st *, unsigned char *, int)","3","484","484","484.0","1452.0","819","819","819.0","2457.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\aes.c","1089","2147484908"
"AES_set_decrypt_key(unsigned char *, int, struct aes_key_st *)","3","13","13","13.0","39.0","832","832","832.0","2496.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\aes.c","1376","2147487972"
"generate_number(unsigned char *, unsigned char, unsigned int)","2","108","108","108.0","216.0","1328","1337","1332.5","2665.0","C:\Users\mraes\Desktop\crypto\Release\..\bbs\bbs.c","32","2147518044"
"AES_set_encrypt_key(unsigned char *, int, struct aes_key_st *)","12","13","14","13.5","162.0","348","349","348.5","4182.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\aes.c","1370","2147487948"
"aes_decrypt(struct aes_key_st *, unsigned char *, unsigned char *)","19","236","236","236.0","4484.0","236","236","236.0","4484.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\aes.c","1149","2147486764"
"AES_decrypt(unsigned char *, unsigned char *, struct aes_key_st *)","19","13","13","13.0","247.0","249","249","249.0","4731.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\aes.c","1389","2147488016"
"convert_8_to_16(unsigned short *, unsigned char *)","36","134","134","134.0","4824.0","134","134","134.0","4824.0","C:\Users\mraes\Desktop\crypto\Release\..\tools\tools.c","7","2147505008"
"aes_set_encrypt_key(struct aes_key_st *, unsigned char *, int)","15","335","335","335.0","5025.0","335","335","335.0","5025.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\aes.c","429","2147483648"
"hash(unsigned char *, unsigned char *, unsigned char *, unsigned int)","6","83","118","94.66666666666667","568.0","831","1527","1063.0","6378.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\ocb.c","68","2147492220"
"create_data_packet(unsigned char *, unsigned char *, unsigned char)","1","95","95","95.0","95.0","6615","6615","6615.0","6615.0","C:\Users\mraes\Desktop\crypto\Release\..\packman\packman_master.c","13","2147500232"
"encrypt_data(unsigned char *, unsigned char *, unsigned char)","1","6","6","6.0","6.0","6711","6711","6711.0","6711.0","C:\Users\mraes\Desktop\crypto\Release\..\crypto_wrapper.c","68","2147509400"
"double_block(unsigned char *, unsigned char *)","78","57","146","89.43589743589743","6976.0","57","146","89.43589743589743","6976.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\ocb.c","49","2147491936"
"calc_L_i(unsigned char *, unsigned char *, unsigned int)","38","19","51","27.736842105263158","1054.0","77","547","193.31578947368422","7346.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\ocb.c","59","2147492148"
"validate_data_packet(unsigned char *, unsigned char *)","1","43","43","43.0","43.0","7379","7379","7379.0","7379.0","C:\Users\mraes\Desktop\crypto\Release\..\packman\packman_slave.c","33","2147500992"
"decrypt_data(unsigned char *, unsigned char *)","1","25","25","25.0","25.0","7503","7503","7503.0","7503.0","C:\Users\mraes\Desktop\crypto\Release\..\crypto_wrapper.c","72","2147509416"
"aes_encrypt(struct aes_key_st *, unsigned char *, unsigned char *)","51","244","244","244.0","12444.0","244","244","244.0","12444.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\aes.c","529","2147485584"
"AES_encrypt(unsigned char *, unsigned char *, struct aes_key_st *)","51","13","14","13.627450980392156","695.0","257","258","257.6274509803921","13138.999999999996","C:\Users\mraes\Desktop\crypto\Release\..\ocb\aes.c","1383","2147487992"
"SHA256_Final(unsigned char *, struct _SHA256_CTX *)","10","150","173","159.2","1592.0","1066","1975","1429.6","14296.0","C:\Users\mraes\Desktop\crypto\Release\..\ciphers\sha2\sha2.c","574","2147495920"
"SHA256_Update(struct _SHA256_CTX *, unsigned char *, unsigned int)","10","59","108","78.6","786.0","71","3592","1479.4","14794.0","C:\Users\mraes\Desktop\crypto\Release\..\ciphers\sha2\sha2.c","526","2147495244"
"EMSA_PKCS1_V1_5_ENCODE(unsigned char *, unsigned char *, unsigned int, unsigned int)","4","81","81","81.0","324.0","5742","5742","5742.0","22968.0","C:\Users\mraes\Desktop\crypto\Release\..\asymmetric\signatures.c","45","2147514080"
"finalize_connection(unsigned char *)","1","60","60","60.0","60.0","23820","23820","23820.0","23820.0","C:\Users\mraes\Desktop\crypto\Release\..\crypto_wrapper.c","83","2147509252"
"xor_block(unsigned char *, unsigned char *, unsigned char *)","200","121","121","121.0","24200.0","121","121","121.0","24200.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\ocb.c","41","2147492112"
"SHA256_Transform(struct _SHA256_CTX *, unsigned int *)","30","864","864","864.0","25920.0","864","864","864.0","25920.0","C:\Users\mraes\Desktop\crypto\Release\..\ciphers\sha2\sha2.c","446","2147494528"
